Model;Name;MAC;Session (UTC);Role;Round;Freq (Hz);σ (Hz);Mag;ZP;# Samples;ΔT (s.)
TESS-W;stars3;18:FE:34:CF:E9:A3;2025-11-20 11:18:15;ref;1;2.931;0.0068;19.332;;75;26.876
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;1;2.65;0.016;19.443;20.32975540582307;75;93.315
TESS-W;stars3;18:FE:34:CF:E9:A3;2025-11-20 11:18:15;ref;2;2.931;0.0082;19.332;;75;26.715
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;2;2.66;0.0156;19.439;20.333847895420696;75;93.313
TESS-W;stars3;18:FE:34:CF:E9:A3;2025-11-20 11:18:15;ref;3;2.929;0.0106;19.333;;75;27.867
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;3;2.66;0.0155;19.439;20.334589012312787;75;96.281
TESS-W;stars3;18:FE:34:CF:E9:A3;2025-11-20 11:18:15;ref;4;2.931;0.012;19.332;;75;27.868
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;4;2.66;0.0179;19.439;20.333847895420696;75;98.329
TESS-W;stars3;18:FE:34:CF:E9:A3;2025-11-20 11:18:15;ref;5;2.929;0.0087;19.333;;75;27.164
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;5;2.66;0.0195;19.439;20.334589012312787;75;98.331
TESS-W;stars3;18:FE:34:CF:E9:A3;2025-11-20 11:20:39;ref;1;0.644;0.0022;20.978;;75;122.059
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:20:39;test;1;0.59;0.0048;21.077;20.341228646790817;75;96.972
TESS-W;stars3;18:FE:34:CF:E9:A3;2025-11-20 11:20:39;ref;2;0.643;0.0019;20.979;;75;120.571
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:20:39;test;2;0.59;0.0051;21.077;20.342915882879794;75;94.925
TESS-W;stars3;18:FE:34:CF:E9:A3;2025-11-20 11:20:39;ref;3;0.643;0.0016;20.979;;75;124.235
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:20:39;test;3;0.59;0.0058;21.077;20.342915882879794;75;96.974
TESS-W;stars3;18:FE:34:CF:E9:A3;2025-11-20 11:20:39;ref;4;0.643;0.0016;20.979;;75;124.235
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:20:39;test;4;0.59;0.0062;21.077;20.342915882879794;75;90.932
TESS-W;stars3;18:FE:34:CF:E9:A3;2025-11-20 11:20:39;ref;5;0.643;0.0015;20.979;;75;137.865
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:20:39;test;5;0.59;0.007;21.077;20.342915882879794;75;89.907
TESS-W;stars3;18:FE:34:CF:E9:A3;2025-11-20 11:23:37;ref;1;2.929;0.0118;19.333;;75;27.163
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:23:37;test;1;2.68;0.0203;19.43;20.34272800248598;75;96.361
TESS-W;stars3;18:FE:34:CF:E9:A3;2025-11-20 11:23:37;ref;2;2.929;0.0104;19.333;;75;27.164
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:23:37;test;2;2.68;0.021;19.43;20.34272800248598;75;95.237
TESS-W;stars3;18:FE:34:CF:E9:A3;2025-11-20 11:23:37;ref;3;2.929;0.0087;19.333;;75;27.163
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:23:37;test;3;2.68;0.0196;19.43;20.34272800248598;75;94.313
TESS-W;stars3;18:FE:34:CF:E9:A3;2025-11-20 11:23:37;ref;4;2.929;0.0047;19.333;;75;26.859
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:23:37;test;4;2.68;0.0211;19.43;20.34272800248598;75;85.913
TESS-W;stars3;18:FE:34:CF:E9:A3;2025-11-20 11:23:37;ref;5;2.929;0.0046;19.333;;75;26.155
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:23:37;test;5;2.68;0.0212;19.43;20.34272800248598;75;85.813
TESS-W;stars3;18:FE:34:CF:E9:A3;2025-11-20 11:26:03;ref;1;0.645;0.0022;20.976;;75;125.531
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:26:03;test;1;0.58;0.0;21.095;20.320920309463155;75;77.825
TESS-W;stars3;18:FE:34:CF:E9:A3;2025-11-20 11:26:03;ref;2;0.644;0.0019;20.978;;75;126.458
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:26:03;test;2;0.58;0.0;21.095;20.322604927651792;75;79.768
TESS-W;stars3;18:FE:34:CF:E9:A3;2025-11-20 11:26:03;ref;3;0.644;0.0019;20.978;;75;126.458
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:26:03;test;3;0.58;0.0;21.095;20.322604927651792;75;79.773
TESS-W;stars3;18:FE:34:CF:E9:A3;2025-11-20 11:26:03;ref;4;0.644;0.0018;20.978;;75;143.336
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:26:03;test;4;0.58;0.0;21.095;20.322604927651792;75;79.873
TESS-W;stars3;18:FE:34:CF:E9:A3;2025-11-20 11:26:03;ref;5;0.644;0.0014;20.978;;75;146.951
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:26:03;test;5;0.58;0.0;21.095;20.322604927651792;75;80.792
TESS-W;stars3;18:FE:34:CF:E9:A3;2025-11-20 11:29:05;ref;1;2.926;0.0053;19.334;;75;26.555
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:29:05;test;1;2.68;0.015;19.43;20.343840627216746;75;79.771
TESS-W;stars3;18:FE:34:CF:E9:A3;2025-11-20 11:29:05;ref;2;2.926;0.0055;19.334;;75;26.475
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:29:05;test;2;2.69;0.0167;19.426;20.347887356481237;75;80.794
TESS-W;stars3;18:FE:34:CF:E9:A3;2025-11-20 11:29:05;ref;3;2.926;0.005;19.334;;75;25.756
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:29:05;test;3;2.69;0.0167;19.426;20.347887356481237;75;78.849
TESS-W;stars3;18:FE:34:CF:E9:A3;2025-11-20 11:29:05;ref;4;2.928;0.0049;19.334;;75;25.452
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:29:05;test;4;2.68;0.0138;19.43;20.343098750724092;75;77.718
TESS-W;stars3;18:FE:34:CF:E9:A3;2025-11-20 11:29:05;ref;5;2.928;0.0049;19.334;;75;25.451
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:29:05;test;5;2.68;0.0156;19.43;20.343098750724092;75;78.745
TESS-W;stars3;18:FE:34:CF:E9:A3;2025-11-20 11:31:23;ref;1;0.645;0.002;20.976;;75;127.866
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:31:23;test;1;0.59;0.0016;21.077;20.33954402860218;75;78.844
TESS-W;stars3;18:FE:34:CF:E9:A3;2025-11-20 11:31:23;ref;2;0.645;0.0017;20.976;;75;126.459
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:31:23;test;2;0.59;0.0016;21.077;20.33954402860218;75;78.745
TESS-W;stars3;18:FE:34:CF:E9:A3;2025-11-20 11:31:23;ref;3;0.645;0.0017;20.976;;75;126.459
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:31:23;test;3;0.59;0.002;21.077;20.33954402860218;75;79.769
TESS-W;stars3;18:FE:34:CF:E9:A3;2025-11-20 11:31:23;ref;4;0.645;0.0015;20.976;;75;142.648
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:31:23;test;4;0.59;0.0033;21.077;20.33954402860218;75;78.85
TESS-W;stars3;18:FE:34:CF:E9:A3;2025-11-20 11:31:23;ref;5;0.645;0.0014;20.976;;75;142.04
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:31:23;test;5;0.59;0.0037;21.077;20.33954402860218;75;83.106
TESS-W;stars3;18:FE:34:CF:E9:A3;2025-11-20 11:34:24;ref;1;2.926;0.0069;19.334;;75;27.179
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:34:24;test;1;2.68;0.0168;19.43;20.343840627216746;75;85.915
TESS-W;stars3;18:FE:34:CF:E9:A3;2025-11-20 11:34:24;ref;2;2.926;0.0071;19.334;;75;27.179
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:34:24;test;2;2.68;0.0165;19.43;20.343840627216746;75;86.836
TESS-W;stars3;18:FE:34:CF:E9:A3;2025-11-20 11:34:24;ref;3;2.926;0.0071;19.334;;75;26.572
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:34:24;test;3;2.68;0.018;19.43;20.343840627216746;75;87.86
TESS-W;stars3;18:FE:34:CF:E9:A3;2025-11-20 11:34:24;ref;4;2.926;0.0046;19.334;;75;25.852
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:34:24;test;4;2.68;0.0168;19.43;20.343840627216746;75;91.959
TESS-W;stars3;18:FE:34:CF:E9:A3;2025-11-20 11:34:24;ref;5;2.926;0.0043;19.334;;75;25.547
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:34:24;test;5;2.68;0.0166;19.43;20.343840627216746;75;94.926
TESS-W;stars3;18:FE:34:CF:E9:A3;2025-11-20 11:36:40;ref;1;0.645;0.0023;20.976;;75;121.804
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:36:40;test;1;0.59;0.0016;21.077;20.33954402860218;75;79.871
TESS-W;stars3;18:FE:34:CF:E9:A3;2025-11-20 11:36:40;ref;2;0.645;0.0017;20.976;;75;120.027
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:36:40;test;2;0.59;0.002;21.077;20.33954402860218;75;80.792
TESS-W;stars3;18:FE:34:CF:E9:A3;2025-11-20 11:36:40;ref;3;0.645;0.0017;20.976;;75;121.804
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:36:40;test;3;0.59;0.0023;21.077;20.33954402860218;75;79.767
TESS-W;stars3;18:FE:34:CF:E9:A3;2025-11-20 11:36:40;ref;4;0.645;0.0015;20.976;;75;136.025
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:36:40;test;4;0.59;0.0028;21.077;20.33954402860218;75;84.301
TESS-W;stars3;18:FE:34:CF:E9:A3;2025-11-20 11:36:40;ref;5;0.645;0.0015;20.976;;75;139.065
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:36:40;test;5;0.59;0.0031;21.077;20.33954402860218;75;84.201
TESS-W;stars3;18:FE:34:CF:E9:A3;2025-11-20 11:39:39;ref;1;2.924;0.0111;19.335;;75;27.579
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:39:39;test;1;2.67;0.0198;19.435;20.34052114239672;75;79.77
TESS-W;stars3;18:FE:34:CF:E9:A3;2025-11-20 11:39:39;ref;2;2.922;0.0113;19.336;;75;27.58
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:39:39;test;2;2.65;0.0223;19.443;20.333094422923462;75;80.796
TESS-W;stars3;18:FE:34:CF:E9:A3;2025-11-20 11:39:39;ref;3;2.922;0.0095;19.336;;75;27.579
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:39:39;test;3;2.65;0.0211;19.443;20.333094422923462;75;78.849
TESS-W;stars3;18:FE:34:CF:E9:A3;2025-11-20 11:39:39;ref;4;2.924;0.0077;19.335;;75;28.283
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:39:39;test;4;2.65;0.02;19.443;20.3323515312046;75;76.698
TESS-W;stars3;18:FE:34:CF:E9:A3;2025-11-20 11:39:39;ref;5;2.924;0.0078;19.335;;75;28.987
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:39:39;test;5;2.65;0.0193;19.443;20.3323515312046;75;76.8
TESS-W;stars3;18:FE:34:CF:E9:A3;2025-11-20 11:41:48;ref;1;0.637;0.002;20.99;;75;118.587
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:41:48;test;1;0.58;0.0;21.095;20.334471015212948;75;74.752
TESS-W;stars3;18:FE:34:CF:E9:A3;2025-11-20 11:41:48;ref;2;0.636;0.0016;20.991;;75;118.476
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:41:48;test;2;0.58;0.0;21.095;20.33617680693029;75;74.752
TESS-W;stars3;18:FE:34:CF:E9:A3;2025-11-20 11:41:48;ref;3;0.636;0.0014;20.991;;75;118.572
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:41:48;test;3;0.58;0.0;21.095;20.33617680693029;75;74.651
TESS-W;stars3;18:FE:34:CF:E9:A3;2025-11-20 11:41:48;ref;4;0.636;0.0013;20.991;;75;117.068
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:41:48;test;4;0.58;0.0;21.095;20.33617680693029;75;79.053
TESS-W;stars3;18:FE:34:CF:E9:A3;2025-11-20 11:41:48;ref;5;0.636;0.0013;20.991;;75;117.068
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:41:48;test;5;0.58;0.0;21.095;20.33617680693029;75;78.952
